id,slug,name,category,status,city,area,rating,reviews_count,authority_score,website,google_maps_url
google-ChIJ0YV4Ro_JlxIREsufTr1u6bk,bar-triquet,Bar Triquet,bar,published,,Sineu,4.4,802,151.0943,,https://maps.google.com/?cid=13396360325937220370&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJJfwZD3hQlhIR1NgiGikw0a0,cafe-chill-out-la-playa,Café Chill Out La Playa,bar,published,,Portocolom,4.4,1208,164.6485,http://www.facebook.com/chilloutlaplaya,https://maps.google.com/?cid=12524844991784343764&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJi07Wg9CJlxIR9gheclUK5bs,eolo-bar-en-santa-ponca,EOLO BAR en Santa Ponça,bar,published,,Calvià,4.4,240,140.6403,,https://maps.google.com/?cid=13539239216866527478&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJfUDoabtNlhIRWT8qDrwt_MQ,cafe-sa-portassa,Cafè Sa Portassa,bar,published,,Felanitx,4.4,98,132.9127,,https://maps.google.com/?cid=14194270411279712089&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJvX2DCSVUlhIRPyaNJIfkNBk,bar-restaurante-bon-bar,BAR RESTAURANTE BON BAR,bar,published,,Cala Figuera,4.4,1631,167.2544,https://mtr.bio/bon-bar-cala-figuera,https://maps.google.com/?cid=1816327818822100543&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJ-y-S4USSlxIRKYT6dRPZHIA,maura-cafe-bar,Maura - Cafe & Bar,bar,published,Palma,Palma,4.4,2061,169.2816,https://grupocardon.com/restaurantes/maura/,https://maps.google.com/?cid=9231492013809632297&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJm3SAiSPVlxIRtOlz0OqjjpU,bar-norai-pub,Bar Norai Pub,bar,published,Pollença,Port de Pollença,4.4,603,143.6207,,https://maps.google.com/?cid=10776731187259107764&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJWSWJPQiulxIRnydXmLkDm58,sa-parada,Sa Parada,bar,published,,Campos,4.4,640,149.1372,,https://maps.google.com/?cid=11500790169080375199&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJl_jn3-yTlxIRv_YgnMFiT0k,bollywood-cafe,Bollywood Cafe,bar,published,Palma,Palma,4.4,109,143.8279,https://g.page/bollywood-cafe-palma?gm,https://maps.google.com/?cid=5282549471616497343&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJ8zjvsyEtlhIR2J9hoXlnrRI,restaurante-the-swan-sport-bar,"Restaurante the Swan , Sport bar",bar,published,,Can Picafort,4.4,603,148.6207,,https://maps.google.com/?cid=1345845635749879768&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJvcyEkYmTlxIR7Q2TP5XvuXI,savage,Savage,bar,published,Palma,Palma,4.4,55,137.9638,https://instagram.com/savage.mallorca?igshid=OGQ5ZDc2ODk2ZA==,https://maps.google.com/?cid=8266902015311023597&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJRY4_cOMtlhIRBjsTwHPYkFQ,kilombito-sl,Kilombito sl,bar,published,,Playa de Muro,4.4,339,138.6296,,https://maps.google.com/?cid=6093608287487605510&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJ010fGYCSlxIRAOAEsS1RG_g,la-movida-cafe-concierto,LA MOVIDA Café Concierto,bar,published,Palma,Palma,4.4,1275,165.117,http://lamovidacafeconcierto.com/,https://maps.google.com/?cid=17877972402462580736&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJH6crFv8WlhIRDWm80NPtlbI,beachclub-sa-cova,Beachclub Sa Cova,bar,published,,Cala Ratjada,4.4,1301,165.2922,https://barsacova.shop/,https://maps.google.com/?cid=12868453004276951309&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJ10g1AFKSlxIRDHfIHMbw_M0,moltabarra,Moltabarra,bar,published,Palma,Palma,4.4,2714,171.6754,https://www.instagram.com/moltabarra_palma,https://maps.google.com/?cid=14843003205583402764&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJ3Z6zzalJlhIR2bro4oKyVSw,es-vinil-cafe-lounge,Es Vinil Cafe - Lounge,bar,published,,Manacor,4.4,201,149.107,http://www.zarabundathecommunity.com/,https://maps.google.com/?cid=3194655785911630553&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJ7RmGdo_JlxIRGgyYwlA6GXc,bar-sabina,Bar Sabina,bar,published,,Sineu,4.4,276,136.8496,,https://maps.google.com/?cid=8581954683467729946&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJbVX3M0uJlxIR5d96vILAyow,the-sunset-bar,The sunset bar,bar,published,,Palmanova,4.4,242,135.7121,,https://maps.google.com/?cid=10145132778345914341&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJ3d4Sd7-JlxIRMm5G_KrL_A8,flamingo-s-pub-santa-ponsa,Flamingo's Pub Santa Ponsa,bar,published,,Santa Ponça,4.4,335,148.5268,https://instagram.com/flamingospub?utm_medium=copy_link,https://maps.google.com/?cid=1152019539937357362&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJ3UVOtY4slhIRBHPYC98ULnE,o-malley-s-irish-pub,O'Malley's Irish Pub,bar,published,Alcúdia,Alcúdia,4.4,553,147.8702,,https://maps.google.com/?cid=8155478923423544068&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJNy-IWYkslhIRTdX4OzILwPE,the-irish-tavern,The Irish Tavern,bar,published,Alcúdia,Port d'Alcúdia,4.4,581,148.2985,,https://maps.google.com/?cid=17419935669051512141&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJs41s7rjFlxIRVlt-Q65tHGQ,cerveseria-quina-canya,Cerveseria Quina Canya,bar,published,,Inca,4.4,94,127.5545,,https://maps.google.com/?cid=7213761298364783446&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJVU2CRK3vlxIRPstklewtUe4,sa-font-fresca-esencia-mediterranea,Sa Font Fresca - Esencia Mediterranea,bar,published,,Deià,4.4,1349,165.6067,http://safontfrescadeia.com/,https://maps.google.com/?cid=17172557348282354494&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJF1tQJnKSlxIR8_4SJL5B-3k,shelby-s-sports-bar,Shelby’s Sports Bar,bar,published,Palma,Palma,4.4,449,156.0643,https://www.instagram.com/shelbysportsbar/,https://maps.google.com/?cid=8789691382648471283&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJq91MFE6SlxIREEK3Btj1Ncs,singular-rooftop-terrace,Singular Rooftop Terrace,bar,published,Palma,Palma,4.4,86,141.7904,https://hotelsantfrancesc.com/es/gastronomia/bar-terraza?utm_source=google&utm_medium=my_business&utm_campaign=direct_link,https://maps.google.com/?cid=14642880071639450128&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
google-ChIJ12asgo8_lhIR5K1LoIdx4jg,60-s-pub-the-music-bar-cala-bona,60's Pub - The Music Bar Cala Bona,bar,published,,Cala Bona,4.4,478,141.6067,,https://maps.google.com/?cid=4098963438184410596&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
