category,name,rating,reviews_count,area,address,google_place_id,website,google_maps_url,possible_existing_slug,possible_existing_place_id
hotel,Grupotel Natura Playa,4.6,671,Can Picafort,"Av. Platges de Muro, 5, 07458 Muro, Illes Balears",ChIJ2Z1YRRQtlhIRL5Rj6Ra6Ghw,http://www.grupotel.com/,https://maps.google.com/?cid=2025135590024123439&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,H10 Blue Mar Boutique Hotel,4.5,658,Andratx,"Camí Salinar, 8, 07160 Andratx, Illes Balears",ChIJNZHdRiknmBIRMS7Xw5OKJLo,https://www.h10hotels.com/en/mallorca-hotels/h10-blue-mar?utm_source=google_my_business&utm_medium=boton_sitio_web&utm_campaign=hbm,https://maps.google.com/?cid=13412997957466664497&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Hotel JS Sol de Alcúdia,4.4,657,Port d'Alcúdia,"Avinguda de Venècia, 3, 07408 Port d'Alcúdia, Illes Balears",ChIJVViJxWQtlhIR-sI8_B60zUU,https://www.jshotels.com/js-sol-de-alcudia?utm_source=google&utm_medium=organic&utm_campaign=my_business,https://maps.google.com/?cid=5029874404016571130&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Grupotel Playa Camp de Mar,4.4,657,Camp de Mar,"Mallorca Avda. Gabriel Covas Alemany 1, 07160 Camp de Mar, Illes Balears",ChIJmxcdkyknmBIR49Xrtzpf_JQ,https://grupotel.com/es/hotels/mallorca/camp-de-mar/playa-camp-de-mar?hotel_id=22&isOnlyAdults=1,https://maps.google.com/?cid=10735560317542847971&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Bellevue Belsana,4,629,Portocolom,"Carrer d'en Churruca, 7, 07670 Portocolom, Illes Balears",ChIJjbcZS5xalhIRFuoCA1dJSXs,https://www.o7hotels.com/es/bellevue-belsana.html?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=BelleVueBelsana,https://maps.google.com/?cid=8883712378026519062&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,"Welikehotel Fénix (Arenal, Mallorca)",4.1,600,S'Arenal,"Carrer Marquès de la Romana, 1, 07600 S'Arenal, Illes Balears",ChIJs82k3ayXlxIRLPaj9LGeWDc,https://www.welikehotel.com/hoteles/welikehotel-fenix?utm_source=google&utm_medium=organic&utm_campaign=GMB&utm_content=WelikehotelFenix,https://maps.google.com/?cid=3988111957187360300&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Protur Turó Pins Hotel,4.6,599,Cala Ratjada,"Carrer des Clot Gran, S/N, 07590 Cala Rajada, Illes Balears",ChIJeTqiOPkWlhIRILeh5DaFMXU,http://protur-hotels.com/hoteles-en-mallorca/protur-turo-pins-hotel-spa,https://maps.google.com/?cid=8444677247106922272&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Hotel Rosella by Intelier,4.1,598,Cala Millor,"Carrer Tamarell, s/n, 07560 Sa Coma, Illes Balears",ChIJxz2l0mFAlhIRH2DgP9Nkkc0,https://www.intelier.com/hotel-rosella-mallorca/,https://maps.google.com/?cid=14812731507870818335&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Grupotel Picafort Beach,4.3,597,Can Picafort,"Passeig Colón, 130, 07458 Can Picafort, Illes Balears",ChIJFeeOYHcylhIRxBTPQ6Hu7jc,http://www.grupotel.com/,https://maps.google.com/?cid=4030421092937962692&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Gran Hotel Sóller,4.5,582,Sóller,"Carrer de sa Romaguera, 18, 07100 Sóller, Illes Balears",ChIJ0dYS2r7olxIRvpijH31-GiU,http://www.granhotelsoller.com/,https://maps.google.com/?cid=2673588404664637630&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
